super_stockist_id,super_stockist_name,super_stockist_zone,super_stockist_region,super _stockist_state,distributor_id,distributor_name,distributor_zone,distributor_region,distributor_state,channel_type,product_id,product_name,ordered_quantity,short_close_qty,sales_order_date,bill_date,invoiced_total_quantity
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FB013402000600000D,Ambarsariya Â Classic Lassi 200 ML*6 KG,0,0,NULL,15/04/25,150
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FB075602000600000D,Rajasthani Masala Chaas 200 ML*6 KG,0,0,NULL,19/05/25,450
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FB075602000600000D,Rajasthani Masala Chaas 200 ML*6 KG,0,0,NULL,25/05/25,300
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FDRTA1201250500,Mango Drink 125 ML (5 L C/S),0,0,NULL,25/05/25,200
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,1800,0,NULL,15/05/25,1800
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,6120,0,NULL,29/05/25,6120
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,2340,0,NULL,25/05/25,2340
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,4140,0,NULL,25/05/25,4140
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,4320,0,NULL,25/05/25,4320
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,6300,0,NULL,28/05/25,6300
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,2400,0,NULL,29/05/25,2400
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,4800,0,NULL,28/05/25,4800
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,19200,0,NULL,30/05/25,19200
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,1920,0,NULL,25/05/25,1920
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,10800,0,04/04/25,04/04/25,10800
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,3600,0,NULL,24/04/25,3600
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,4500,0,NULL,29/04/25,4500
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,12600,0,NULL,17/04/25,12600
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,2700,0,NULL,22/04/25,2700
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300450810000D,Takatak Masala MRP 10|45 GM*8.1 KG,11700,0,05/07/25,07/05/25,13500
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,24000,0,05/07/25,07/05/25,24000
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,2400,0,NULL,22/04/25,2400
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,4800,0,NULL,29/04/25,4800
19000102,S B Markplus Private Limited-2,NULL,NULL,DELHI,460307,SAWARIYA TRADING 41496,NORTH,DELHI,DELHI,GT,FI088300200480001D,Takatak Masala MRP 5|20 GM*4.8 KG,6000,0,NULL,15/04/25,7200
